Y,X1,X2,X3
61494,1,277,222
28492425,153,325,573
201914100,636,415,765
40506480,135,987,304
49784436,601,118,702
637367874,773,858,961
44363214,639,551,126
66826216,106,794,794
17768880,69,580,444
142558026,247,642,899
22656546,187,159,762
60148640,328,212,865
9468900,70,162,835
97633712,253,542,712
424059636,572,821,903
23291796,222,502,209
177545072,607,362,808
54595296,672,153,531
374166135,567,955,691
43056806,478,169,533
156294684,756,837,247
166850376,408,517,791
74672940,562,618,215
3938220,540,143,51
405495792,732,804,689
43097584,782,332,166
2493828,537,6,774
25018968,356,78,901
294073659,783,627,599
454080,240,11,172
46520892,228,297,687
13199304,314,678,62
436848230,910,707,679
15160600,196,425,182
33270750,558,75,795
51260100,255,437,460
13728000,832,132,125
6161688,174,39,908
251689284,833,462,654
63332745,147,433,995
278285920,748,524,710
5511308,193,118,242
28388094,329,146,591
57646404,243,636,373
70857354,453,394,397
306163710,447,867,790
19530756,68,291,987
73378800,300,374,654
93499168,664,749,188
142508556,211,876,771
13511040,310,454,96
38758610,445,407,214
55836000,720,94,825
6781941,207,489,67
391529600,616,908,700
456548280,695,813,808
40414452,62,822,793
40703625,873,125,373
236060073,317,853,873
4634812,214,637,34
125037312,471,272,976
235937568,892,824,321
13695948,139,138,714
2288046,142,123,131
87973500,789,125,892
624887360,680,932,986
230768538,539,499,858
56286720,240,698,336
20735883,987,447,47
2886840,891,40,81
361618080,452,904,885
1029600,312,12,275
22883445,221,177,585
144369837,801,823,219
69159357,487,279,509
52934112,341,294,528
11066700,25,997,444
136045965,795,331,517
91824420,978,229,410
3119984,16,623,313
3594500,316,25,455
246496905,795,423,733
748410,101,390,19
390660102,798,993,493
58334440,389,163,920
64807974,107,874,693
37026,9,187,22
12385784,232,271,197
218115170,637,485,706
3988068,482,591,14
328972035,623,987,535
3032117,11,373,739
100909908,638,303,522
72104676,294,298,823
19177655,251,413,185
26325000,234,450,250
141959664,682,294,708
84135705,321,445,589
12443598,86,621,233
138706184,577,604,398
